market,category,subcategory,currency,descripcion_producto,precio_producto,precio_promocion,descripcion_promocion,imagen
Carrefour,Destacados,Productos Carrefour,ARG,Fideos mostacholes rayado Carrefour 500 g. ," 167,00","$ 155,31c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/175306-170-170?v=1767615423&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Miel Carrefour Bio orgánica 500 g. ," 1.072,00","$ 964,80c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/201557-170-170?v=1767615239&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Tostadas Carrefour dulces 200 g. ,"$ 223,50",,,
Carrefour,Destacados,Productos Carrefour,ARG,Copos de maíz Carrefour bajo en grasas 400 g. ," 293,00","$ 266,63c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/172759-170-170?v=1767616330&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Limpiador líquido Carrefour antigrasa 500 cc. ," 147,00","$ 135,24c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/180255-170-170?v=1767615914&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Filtro de café Essential Nº 4 x 30 uni ," 515,00","$ 489,25c/u",Mi CRF,https://carrefourar.vtexassets.com/arquivos/ids/250660-170-170?v=1767615922&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Edulcorante líquido Carrefour con stevia 250 cc. ," 337,00","$ 306,67c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/174740-170-170?v=1767616158&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Ravioles Carrefour espinaca y carne 1 kg. ," 519,00","$ 451,53c/u",Mi CRF 13%,https://carrefourar.vtexassets.com/arquivos/ids/184124-170-170?v=1767613265&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Tostadas de arroz sin sal Carrefour 150 g. ," 198,00","$ 182,16c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/183071-170-170?v=1767615860&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Escobilla de baño Carrefour con depósito 1 u. ," 1.130,00","$ 847,50c/u",2do al 50% Combinable,https://carrefourar.vtexassets.com/arquivos/ids/166333-170-170?v=1767615543&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Trapo de piso Essential algodón gris 1 uni ," 348,00","$ 261,00c/u",2do al 50% Iguales,https://carrefourar.vtexassets.com/arquivos/ids/245813-170-170?v=1767616082&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Gaseosa Carrefour triple 0 lima limón 2.5 l. ,"$ 201,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Papel higiénico hoja simple Carrefour 18 x 30 m. ," 1.290,00","$ 1.173,90c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/180629-170-170?v=1767613338&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Fideos spaghetti Carrefour 500 g. ," 167,00","$ 155,31c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/178820-170-170?v=1767615782&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Miel liquida Carrefour pradera 500 g. ," 1.004,00","$ 913,64c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Edulcorante Carrefour con sucralosa sin TACC 500 cc. ," 404,00","$ 363,60c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Agua saborizada Carrefour cero manzana 2.25 l. ," 222,00","$ 202,02c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Pañuelos descartables Carrefour pocket 6 u. ," 180,00","$ 169,20c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Galletitas Carrefour de hojaldre palmeritas 150 g. ," 220,00","$ 204,60c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Atún en aceite vegetal lomitos Carrefour pack 80 g. x 3 uni ,"$ 617,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Bolsa de residuos Carrefour 45x60 cm. 20 u. ," 454,00","$ 340,50c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Edulcorante en sobres Carrefour 200 u. ," 659,00","$ 612,87c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Fideos coditos Carrefour 500 g. ," 159,00","$ 147,87c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Algodón Carrefour plegado 200 g. ," 434,00","$ 390,60c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Suavizante para ropa Carrefour floral 900 cc. ," 227,00","$ 208,84c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Ravioles de carne y verdura 500 g. ," 545,90","$ 409,42c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Piedras sanitarias para gatos Carrefour 4 kg. perfumadas lavanda ,"$ 1.255,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Obleas Carrefour chocolate 100 g. ,"$ 106,80",,,
Carrefour,Destacados,Productos Carrefour,ARG,Bolsa de residuos Carrefour 50x70 cm. 20 u. ," 714,00","$ 535,50c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Té de manzanilla en saquitos Carrefour 25 u. ," 134,00","$ 124,62c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Té de manzanilla en saquitos Carrefour 25 u. ," 134,00","$ 124,62c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/194165-170-170?v=1767616077&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Obleas Carrefour vainilla 100 g. ,"$ 106,80",,,
Carrefour,Destacados,Productos Carrefour,ARG,Cintitas Carrefour light 125 g. ," 173,00","$ 155,70c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/183061-170-170?v=1767616214&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Peras Carrefour en mitades 820 g. ," 555,00","$ 505,05c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/188427-170-170?v=1767611406&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Chocolate Carrefour relleno con dulce de leche 80 g. ," 195,00","$ 175,50c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/172318-170-170?v=1767615534&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Suavizante para ropa Carrefour clásico 900 cc. ,"$ 230,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Tostadas light Carrefour 140 g. ," 287,00","$ 261,17c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/183249-170-170?v=1767615977&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Cintitas clásicas Carrefour 125 g. ," 173,00","$ 155,70c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/183405-170-170?v=1767615823&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Cesto de residuos a pedal Carrefour 12 l. ," 1.990,00","$ 1.393,00c/u",30% Off  ,https://carrefourar.vtexassets.com/arquivos/ids/160274-170-170?v=1767615820&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Té en saquitos Carrefour sin TACC x 100 un. ," 277,00","$ 249,30c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/233305-170-170?v=1767616332&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Vinagre de manzana Carrefour 1 l. ," 218,00","$ 202,74c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/182786-170-170?v=1767615907&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Mix equilibrio 500 g. ,"$ 990,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Trapo de piso Essential algodón 1 uni ," 347,00","$ 260,25c/u",2do al 50% Iguales,https://carrefourar.vtexassets.com/arquivos/ids/245811-170-170?v=1767616046&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Palillos Carrefour 2 x 50 u. ," 243,00","$ 228,42c/u",Mi CRF 6 %,https://carrefourar.vtexassets.com/arquivos/ids/180540-170-170?v=1767615618&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Ravioles Carrefour jamón y carne 1 kg. ," 519,00","$ 451,53c/u",Mi CRF 13%,https://carrefourar.vtexassets.com/arquivos/ids/184120-170-170?v=1767613282&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Protectores diarios Carrefour sin alas 40 u. ," 282,00","$ 256,62c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/182168-170-170?v=1767616333&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Obleas Carrefour frutilla 100 g. ,"$ 106,80",,,
Carrefour,Destacados,Productos Carrefour,ARG,Pimentón 50 g. ,"$ 140,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Suavizante para ropa Carrefour aroma del bosque 900 cc. ," 227,00","$ 208,84c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/184873-170-170?v=1767617164&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Cappuccino instantáneo Carrefour 125 g. ," 341,00","$ 313,72c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/172629-170-170?v=1767617500&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Cesto de residuos a pedal 22 l. ," 3.690,00","$ 2.583,00c/u",30% Off  ,https://carrefourar.vtexassets.com/arquivos/ids/160277-170-170?v=1767618169&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Galletitas Carrefour azucaradas chocolate 250 g. ," 171,00","$ 153,90c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/175934-170-170?v=1767617453&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Film adherente Essential 28 cm. x 15 m. ," 445,00","$ 333,75c/u",2do al 50% Iguales,https://carrefourar.vtexassets.com/arquivos/ids/250658-170-170?v=1767619661&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Polenta Carrefour bolsa 1 kg. ,"$ 190,50",,,
Carrefour,Destacados,Productos Carrefour,ARG,Yerba mate sabor naranja Carrefour sin TACC 500 g. ," 413,00","$ 359,31c/u",Mi CRF 13%,https://carrefourar.vtexassets.com/arquivos/ids/233299-170-170?v=1767617032&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Lustra muebles en aerosol Carrefour lavanda 340 cc. ," 321,00","$ 298,53c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/180065-170-170?v=1767618712&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Aperitivo sin alcohol Carrefour serrano 1.5 l. ," 168,00","$ 154,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194441-170-170?v=1767617576&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Escoba León + Cabo 1 u. ," 1.400,00","$ 1.330,00c/u",Mi CRF,https://carrefourar.vtexassets.com/arquivos/ids/166334-170-170?v=1767617653&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Porotos secos remojados Carrefour 340 g. ," 118,00","$ 110,92c/u",Mi CRF 6 %,https://carrefourar.vtexassets.com/arquivos/ids/188133-170-170?v=1767617426&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Jabón líquido Carrefour 300 cc. ," 165,00","$ 150,15c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/178026-170-170?v=1767617175&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Filet de salmón ahumado Carrefour Selection 100 g. ,"$ 1.540,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Galletitas mini crackers Carrefour sin sal 300 g. ," 227,00","$ 211,11c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/176550-170-170?v=1767616777&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,"Helado Carrefour granizado, dulce de leche, cacao y banana split 1.5 kg. "," 1.277,00","$ 1.162,07c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Paño rejilla Essential trama doble 1 uni ," 156,00","$ 117,00c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Jabón líquido para ropa Carrefour 1.5 l. ," 608,00","$ 547,20c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Limpiador líquido Carrefour colonia 4 l. ," 467,00","$ 429,64c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Galletitas mini crackers Carrefour 300 g. ," 227,00","$ 211,11c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Toallitas Carrefour con alas 8 u. ," 152,00","$ 142,88c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Budín Carrefour marmolado 220 g. ," 255,00","$ 234,60c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Caballa al natural Carrefour lata 380 g. ," 623,00","$ 548,24c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Yerba mate Carrefour sin TACC Selection caja 500 g. ," 534,00","$ 496,62c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Film de aluminio Essential 28 cm x 7.5 m. ," 477,00","$ 357,75c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Capelletti Carrefour ricotta y queso 500 g. ," 305,00","$ 283,65c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Limpiador líquido Carrefour frutal 4 l. ," 467,00","$ 429,64c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Protectores diarios Carrefour cola less 20 u. ," 179,00","$ 164,68c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Grisines Carrefour salvado 200 g. ," 292,00","$ 268,64c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Edulcorante en pastillas Carrefour 500 u. ,"$ 610,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Agua saborizada Carrefour cero pomelo  2.25 l. ," 222,00","$ 202,02c/u",,
Carrefour,Destacados,Productos Carrefour,ARG,Adobo para pizza 50 g. ,"$ 196,10",,,
Carrefour,Destacados,Productos Carrefour,ARG,Tostadas Carrefour clásicas 140 g. ," 287,00","$ 261,17c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/183225-170-170?v=1767617352&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Miel liquida Carrefour pradera 300 g. ,"$ 536,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Chocolate Carrefour 80 g. ," 195,00","$ 175,50c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/172316-170-170?v=1767617301&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Sal gruesa Carrefour 1 kg. ,"$ 120,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Limpiador líquido Carrefour bebé 4 l. ," 467,00","$ 429,64c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/179878-170-170?v=1767618246&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Bolsas para residuos Carrefour 60 x 100 cm. 10 u. ," 670,00","$ 502,50c/u",2do al 50% Iguales,https://carrefourar.vtexassets.com/arquivos/ids/166626-170-170?v=1767618453&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Obleas Carrefour limón 100 g. ,"$ 106,80",,,
Carrefour,Destacados,Productos Carrefour,ARG,Castañas de cajú 350 g. ,"$ 2.600,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Bizcochos Carrefour de hojaldre azúcarados 180 g. ," 170,00","$ 154,70c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/171145-170-170?v=1767617396&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Chocolate blanco Carrefour 80 g. ," 195,00","$ 175,50c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/172315-170-170?v=1767616221&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Mix de semillas Sturla rústica girasol chia sésamo lino 250 g. ,"$ 468,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Detergente líquido para ropa Carrefour baja espuma 800 cc. ," 317,00","$ 288,47c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/177497-170-170?v=1767617614&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Té de boldo en saquitos Carrefour 25 u. ," 166,00","$ 154,38c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/194166-170-170?v=1767617366&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Aperitivo sin alcohol Carrefour pomelo 1.5 l. ," 168,00","$ 154,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194448-170-170?v=1767617668&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Grisines Carrefour salvado 400 g. ," 539,00","$ 490,49c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/183245-170-170?v=1767616545&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Grisines Carrefour salvado 400 g. ," 539,00","$ 490,49c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/183245-170-170?v=1767616545&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Jugo en polvo Carrefour naranja dulce 10 g. ,"$ 31,60",,,
Carrefour,Destacados,Productos Carrefour,ARG,Almendras peladas 400 g. ,"$ 2.800,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Protectores diarios Carrefour sin perfume 40 u. ," 282,00","$ 256,62c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/182117-170-170?v=1767615792&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Filtro de café Essential Nº 2 x 30 uni ," 474,00","$ 445,56c/u",Mi CRF 6 %,https://carrefourar.vtexassets.com/arquivos/ids/250662-170-170?v=1767615092&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Tierra fértil Carrefour interior y exterior 25 l. ,"$ 1.400,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Jabón líquido Carrefour durazno 300 cc. ," 165,00","$ 150,15c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/178031-170-170?v=1767616577&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Desodorante de ambiente Carrefour cítrico 360 cc. ," 276,00","$ 248,40c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/174434-170-170?v=1767616076&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Yerba mate con palo Carrefour sin TACC 500 g. ," 337,00","$ 306,67c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/233300-170-170?v=1767616254&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Limpiador líquido Carrefour limón 1.8 l. ," 233,00","$ 214,36c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/179948-170-170?v=1767605842&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,"Sorrentinos muzarella, ricotta, jamón x 550 g. "," 669,90","$ 502,42c/u",2do al 50% Combinable RAVIOLES,https://carrefourar.vtexassets.com/arquivos/ids/184008-170-170?v=1767615947&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Galletitas Carrefour chocolate rellenas 97 g. ,"$ 105,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Esponja Carrefour cuadriculada 1 u. ,"$ 66,50",,,
Carrefour,Destacados,Productos Carrefour,ARG,Alimento para perro Carrefour pollo 100 g. ," 125,90","$ 83,93c/u",3x2 Max 12 unidades Combinable,https://carrefourar.vtexassets.com/arquivos/ids/273950-170-170?v=1767615762&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Barrita de cereal Carrefour durazno 3 u. ,"$ 218,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Esponja de bronce Carrefour 2 u. ,"$ 202,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Pañuelos descartables Carrefour 75 u. ," 202,00","$ 187,86c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/194537-170-170?v=1767617647&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Tostadas Carrefour salvado 140 g. ," 287,00","$ 261,17c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/183415-170-170?v=1767615520&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Bolsas para residuos Carrefour 80 x 110 cm. 10 u. ," 1.435,00","$ 1.076,25c/u",2do al 50% Iguales,https://carrefourar.vtexassets.com/arquivos/ids/197350-170-170?v=1767615489&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Tallarines al huevo corte casero Carrefour 500 g. ,"$ 335,50",,,
Carrefour,Destacados,Productos Carrefour,ARG,Porotos alubias secos 500 g. ,"$ 300,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Coco rallado 50 g. ,"$ 198,10",,,
Carrefour,Destacados,Productos Carrefour,ARG,Agua saborizada con gas Carrefour pomelo 2 l. ," 182,00","$ 169,26c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/171642-170-170?v=1767615175&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Vinagre de vino Carrefour 1 l. ," 238,00","$ 214,20c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/182776-170-170?v=1767616849&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Servilletas Carrefour 70 u. ," 275,00","$ 261,25c/u",Mi CRF,https://carrefourar.vtexassets.com/arquivos/ids/183797-170-170?v=1767617337&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Galletitas Carrefour chocolate relleno crema de limón 291 g. ," 313,00","$ 287,96c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/175968-170-170?v=1767617217&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Paño rejilla esponja Essential 1 uni ," 222,00","$ 166,50c/u",2do al 50% Iguales,https://carrefourar.vtexassets.com/arquivos/ids/245809-170-170?v=1767617659&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Ají molido x 50 g. ,"$ 99,90",,,
Carrefour,Destacados,Productos Carrefour,ARG,Chocolate Carrefour con mani 80 g. ," 195,00","$ 175,50c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/172317-170-170?v=1767617571&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Papas fritas corte pay 100 g. ,"$ 199,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Copos de maíz Carrefour 160 g. ," 144,00","$ 135,36c/u",Mi CRF 6 %,https://carrefourar.vtexassets.com/arquivos/ids/172758-170-170?v=1767617454&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Tierra fértil Carrefour interior y exterior 40 l. ,"$ 2.000,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Tapas para empanadas Carrefour para freír 12 u. ,"$ 184,20",,,
Carrefour,Destacados,Productos Carrefour,ARG,Insecticida Carrefour mata cucarachas en aerosol 360 cc. ," 382,00","$ 343,80c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/194163-170-170?v=1767617790&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Ajo picado deshidratado 50 g. ,"$ 119,90",,,
Carrefour,Destacados,Productos Carrefour,ARG,Secador Carrefour 1 u. ," 1.228,10","$ 1.166,70c/u",Mi CRF,https://carrefourar.vtexassets.com/arquivos/ids/166341-170-170?v=1767617442&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Arroz yamaní ,"$ 228,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Bolsas para residuos Carrefour 50 x 70 cm. 30 u. ," 815,00","$ 611,25c/u",2do al 50% Iguales,https://carrefourar.vtexassets.com/arquivos/ids/197349-170-170?v=1767618246&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Suavizante para ropa Carrefour clasico 900 cc. ," 347,00","$ 315,77c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/184940-170-170?v=1767617673&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Tostadas Carrefour clásicas con gluten 180 g. ,"$ 212,60",,,
Carrefour,Destacados,Productos Carrefour,ARG,Separadores para freezer Carrefour 19 x 25 cm. x 100 u. ," 356,00","$ 334,64c/u",Mi CRF 6 %,https://carrefourar.vtexassets.com/arquivos/ids/160239-170-170?v=1767615012&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Mermelada Carrefour naranja 454 g. ,"$ 306,00",,,
Carrefour,Destacados,Productos Carrefour,ARG,Huevo blanco Carrefour plástico x 6 uni ," 327,00","$ 297,57c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/176714-170-170?v=1767618217&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Detergente lavavajillas Carrefour cremoso colageno 4 l. ," 848,00","$ 763,20c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/174368-170-170?v=1767619009&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Jugo en polvo Carrefour manzana 24 g. ,"$ 31,60",,,
Carrefour,Destacados,Productos Carrefour,ARG,Tapas para empanadas Carrefour 20 uni ," 305,00","$ 283,65c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/233312-170-170?v=1767620071&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Aperitivo sin alcohol Carrefour limón 1.5 l. ," 168,00","$ 154,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194444-170-170?v=1767617575&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Yerba mate sabor a menta Carrefour sin TACC 500 g. ," 413,00","$ 359,31c/u",Mi CRF 13%,https://carrefourar.vtexassets.com/arquivos/ids/233302-170-170?v=1767617492&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Aperitivo sin alcohol Carrefour cordillera 1.5 l. ," 168,00","$ 154,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194446-170-170?v=1767617702&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Obleas Carrefour naranja 100 g. ,"$ 106,80",,,
Carrefour,Destacados,Productos Carrefour,ARG,Suavizante para ropa Carrefour copos de invierno 900 cc. ," 347,00","$ 315,77c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/184964-170-170?v=1767613960&width=170&height=170&aspect=true
Carrefour,Destacados,Productos Carrefour,ARG,Palmitos en rodajas Carrefour 800 g. ," 965,00","$ 858,85c/u",Mi CRF 11%,https://carrefourar.vtexassets.com/arquivos/ids/188425-170-170?v=1767619011&width=170&height=170&aspect=true
